title;keyword;file
1711-Staff-POS-Staff Display-Pos Application can not detect printer (không nhận máy in);1711-Staff-POS-Staff Display-Pos Application can not detect printer (không nhận máy in);https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/1711-Staff-POS-Staff%20Display-Pos%20Application%20can%20not%20detect%20printer%20(kh%C3%B4ng%20nh%E1%BA%ADn%20m%C3%A1y%20in).pptx?d=w8829b7e905c24011b02f9e7181f14ef9&csf=1&web=1&e=veJ9l7
1711-Staff-POS-Staff Display-Pos Application Disconnected and have a red status at the bottom at the screen;1711-Staff-POS-Staff Display-Pos Application Disconnected and have a red status at the bottom at the screen;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/1711-Staff-POS-Staff%20Display-Pos%20Application%20can%20not%20detect%20printer%20(kh%C3%B4ng%20nh%E1%BA%ADn%20m%C3%A1y%20in).pptx?d=w8829b7e905c24011b02f9e7181f14ef9&csf=1&web=1&e=veJ9l7
2011-Staff-POS-Customer Display-Customer display loss connect with Staff POS;2011-Staff-POS-Customer Display-Customer display loss connect with Staff POS;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2011-Staff-POS-Customer%20Display-Customer%20display%20loss%20connect%20with%20Staff%20POS.pptx?d=w8dc2143d10a24224be0bb5254bc3ab59&csf=1&web=1&e=ShlNMS
2111-EDC-Vietinbank-Cannot connect to EDC;2111-EDC-Vietinbank-Cannot connect to EDC;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2111-EDC-Vietinbank-Cannot%20connect%20to%20EDC.pptx?d=w2985cf5bb55b468a8b903579e0b2da7a&csf=1&web=1&e=6PxuDy
2111-EDC-Vietinbank-Không kết nối được EDC;2111-EDC-Vietinbank-Không kết nối được EDC;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2111-EDC-Vietinbank-Kh%C3%B4ng%20k%E1%BA%BFt%20n%E1%BB%91i%20%C4%91%C6%B0%E1%BB%A3c%20EDC.pptx?d=w6e36d1e4b0a94a1ca6ed7e1ea1f88f26&csf=1&web=1&e=gHDGz7
2211-EDC_Error 34000 occurs with EDC terminal for tablet POS due to connection error_lỗi thanh toán EDC_VI;2211-EDC_Error 34000 occurs with EDC terminal for tablet POS due to connection error_lỗi thanh toán EDC_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-EDC_Error%2034000%20occurs%20with%20EDC%20terminal%20for%20tablet%20POS%20due%20to%20connection%20error_l%E1%BB%97i%20thanh%20to%C3%A1n%20EDC_VI.pptx?d=wa2c5b6b7393c4ba1947c48518d3a1b02&csf=1&web=1&e=YxQoG2
2211-EDC-ErrorID 34320 & 34328 Issue with Payment_Lỗi thanh toán EDC_VI;2211-EDC-ErrorID 34320 & 34328 Issue with Payment_Lỗi thanh toán EDC_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-EDC-ErrorID%2034320%20%26%2034328%20Issue%20with%20Payment_L%E1%BB%97i%20thanh%20to%C3%A1n%20EDC_VI.pptx?d=w5656671cfb234478bfb7af3ba9f0eb32&csf=1&web=1&e=OHE14n
2211-Receipt Printer_Unable to turn on_Lỗi máy in_VI;2211-Receipt Printer_Unable to turn on_Lỗi máy in_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-Receipt%20Printer_Unable%20to%20turn%20on_L%E1%BB%97i%20m%C3%A1y%20in_VI.pptx?d=w0193cf4b75a44b7e9e17b50502e67c0e&csf=1&web=1&e=eBxxmK
2211-RFID Controller_Error 1 one or more antennas are disconnected. Scan may failed_Lỗi anten RFID_VI;2211-RFID Controller_Error 1 one or more antennas are disconnected. Scan may failed_Lỗi anten RFID_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-RFID%20Controller_Error%201%20one%20or%20more%20antennas%20are%20disconnected.%20Scan%20may%20failed_L%E1%BB%97i%20anten%20RFID_VI.pptx?d=w30e870853fa54d69807c334c51d89af4&csf=1&web=1&e=WyKIXm
2211-Self Check Out-POS-Customer Display_Locked Screen_Lỗi khóa màn hình_VI;2211-Self Check Out-POS-Customer Display_Locked Screen_Lỗi khóa màn hình_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/2211-Self%20Check%20Out-POS-Customer%20Display_Locked%20Screen_L%E1%BB%97i%20kh%C3%B3a%20m%C3%A0n%20h%C3%ACnh_VI.pptx?d=w48189373eb674f5cacab09c1d9ac7d66&csf=1&web=1&e=sL9nDF
